,K,mag,filename,phi_bcd,phi_cde,phi_def,phi_efg,phi_fgh
0,125.21,0.13982,IC0K1.2521e+02mag1.3982e-01.bin,180.9428745232704,178.7869750789115,159.47343818526574,72.59469628034687,184.05644376079627
2,74.471,0.0011961,IC2K7.4471e+01mag1.1961e-03.bin,190.90087931489677,300.4834383961789,153.7347572907607,76.23833651758981,183.54337532840017
4,859.13,0.043822,IC4K8.5913e+02mag4.3822e-02.bin,205.11974060867345,304.74229265095573,140.79940008437626,79.61009634053966,179.64116814957438
6,610.55,0.0099069,IC6K6.1055e+02mag9.9069e-03.bin,348.8771032412589,5.394856521949695,297.8580309160144,224.00096308013306,143.13927082746366
7,14.211,0.21865,IC7K1.4211e+01mag2.1865e-01.bin,243.79042943304214,71.57523413584236,120.97476012966897,77.35887790216691,181.35282877782174
8,558.29,0.80468,IC8K5.5829e+02mag8.0468e-01.bin,316.75266907919536,210.9542967311226,89.16030280338998,103.26697639881925,79.3229739225363
10,348.85,0.0011541,IC10K3.4885e+02mag1.1541e-03.bin,206.2944912370797,302.69031022746475,150.11910355012927,68.9795363218079,40.792015845615865
13,359.26,0.0051597,IC13K3.5926e+02mag5.1597e-03.bin,149.96523669072883,59.160609074885606,148.1679052394438,70.53767493195362,40.20144736395022
15,498.47,0.003441,IC15K4.9847e+02mag3.4410e-03.bin,217.82674922046596,172.58452019085334,242.98360139413893,283.2291692427464,176.20098061082723
16,27.963,0.03711,IC16K2.7963e+01mag3.7110e-02.bin,128.37961227830638,189.78179066166499,147.69495409141172,238.21437165519384,194.2948200261979
17,38.845,0.039063,IC17K3.8845e+01mag3.9063e-02.bin,153.00059993238474,55.112921052427154,234.13730401796144,288.3145219654998,180.69177925904344
18,199.87,0.032837,IC18K1.9987e+02mag3.2837e-02.bin,277.27542112675525,45.27754406587462,301.35165751138635,286.59224448062196,253.30435037181567
19,15.67,0.1922,IC19K1.5670e+01mag1.9220e-01.bin,124.44036010456827,306.61517110191915,198.23262394990277,270.79162979560056,186.77330841206899
22,26.117,0.027864,IC22K2.6117e+01mag2.7864e-02.bin,26.514731193798305,184.95226983321382,251.86938351548108,266.66492668977287,311.6325497138407
27,71.03,0.27781,IC27K7.1030e+01mag2.7781e-01.bin,180.92626836187688,302.88518711638017,192.07315330305286,56.3208927958551,46.271215703525435
29,533.97,0.0071568,IC29K5.3397e+02mag7.1568e-03.bin,144.37118236051498,58.17676756858762,122.94844433723661,77.3604436770082,39.78972731852841
30,194.22,0.013875,IC30K1.9422e+02mag1.3875e-02.bin,155.38714336169932,54.61765009520858,229.68328280497394,282.16211458515585,180.68465796238846
35,82.435,0.0084149,IC35K8.2435e+01mag8.4149e-03.bin,188.27348629125416,184.7892442346315,216.13068122652274,273.4586423183815,185.3888594071738
36,286.43,0.063803,IC36K2.8643e+02mag6.3803e-02.bin,184.12926196697813,301.458032764313,158.16693129090675,65.61940226407165,47.31333453458963
37,774.45,0.024677,IC37K7.7445e+02mag2.4677e-02.bin,148.13696602545838,58.98108694216698,142.9604923207836,73.02428266567536,179.68102903023743
46,369.54,0.08026,IC46K3.6954e+02mag8.0260e-02.bin,156.64333819033249,332.88743860102676,298.05587025573135,266.05414114083743,60.465693452006484
51,224.63,0.0013619,IC51K2.2463e+02mag1.3619e-03.bin,156.29936470276078,51.1095428107357,138.10218858769755,70.67879980701557,183.028359205685
55,15.354,0.82218,IC55K1.5354e+01mag8.2218e-01.bin,255.45126152207652,77.05511260971284,63.30811306375626,63.786380741989554,195.2963004715914
62,11.682,0.029331,IC62K1.1682e+01mag2.9331e-02.bin,156.6686421384862,282.75494693265966,154.88266098348996,63.478461620613665,186.83420080850712
70,716.08,0.41427,IC70K7.1608e+02mag4.1427e-01.bin,148.0519786729704,59.29285065760308,125.09266881283708,78.43472994241891,177.62140939723702
73,192.92,0.041292,IC73K1.9292e+02mag4.1292e-02.bin,151.3231521802197,52.84816773195476,221.60200127969708,282.50413091478373,320.0527200075236
76,41.847,0.28639,IC76K4.1847e+01mag2.8639e-01.bin,197.04712446376243,304.2003967199627,136.81330441649524,77.99095398991392,45.74851358152066
83,32.665,0.11255,IC83K3.2665e+01mag1.1255e-01.bin,275.4364963978338,307.371936240047,109.85307225566567,77.64085217979715,51.71362742348337
92,591.24,0.23214,IC92K5.9124e+02mag2.3214e-01.bin,160.16750725883762,54.59921186194367,216.7034819488774,281.5201466012687,47.56342901520029
93,163.2,0.093872,IC93K1.6320e+02mag9.3872e-02.bin,188.5475055396078,304.74994268651045,134.85975275037262,79.39396827348278,311.15053173272173
94,274.64,0.066323,IC94K2.7464e+02mag6.6323e-02.bin,215.01237000289828,301.0454233119452,234.2864725440701,281.10708676008977,182.10417642617364
98,291.43,0.0503,IC98K2.9143e+02mag5.0300e-02.bin,223.46508328237638,302.5690897999295,215.15589223666868,280.6683999432151,179.38421024719
100,122.13,0.0068408,IC100K1.2213e+02mag6.8408e-03.bin,191.74111023782075,303.92412691744875,144.11238628359237,75.22435489828489,180.87338961027174
101,107.84,0.051523,IC101K1.0784e+02mag5.1523e-02.bin,195.86094091281063,302.73227014813943,142.76122386254164,85.88720161198192,315.5707552209129
111,167.63,0.0032152,IC111K1.6763e+02mag3.2152e-03.bin,196.6820962935864,302.69844785044495,137.80230718576664,76.9335393481816,180.4352746501405
